accession	organism	kingdom	length	sp_cleavage_site	label	tm_helix_start_leq_90	fold
P56611	Tityus bahiensis	Metazoa	84	20.0	1		3
Q10ST8	Oryza sativa subsp. japonica	Plants	96	27.0	1		2
Q8WPD0	Patiria pectinifera	Metazoa	168	18.0	1		5
P01237	Rattus norvegicus	Metazoa	226	29.0	1		2
P01817	Homo sapiens	Metazoa	119	19.0	1		5
P19874	Oryctolagus cuniculus	Metazoa	101	22.0	1		1
A0A7E5WUT2	Trichoplusia ni	Metazoa	231	19.0	1		3
P01222	Homo sapiens	Metazoa	138	20.0	1		1
Q9JMI7	Mus musculus	Metazoa	250	25.0	1		3
P01611	Homo sapiens	Metazoa	117	22.0	1		4
P01705	Homo sapiens	Metazoa	113	19.0	1		5
Q9NII7	Olivierus martensii	Metazoa	60	22.0	1		3
O89093	Mus musculus	Metazoa	97	27.0	1		5
P00713	Cavia porcellus	Metazoa	142	19.0	1		5
Q39962	Hevea brasiliensis	Plants	238	31.0	1		4
P0C1X6	Tityus discrepans	Metazoa	62	26.0	1		1
Q8L9T8	Arabidopsis thaliana	Plants	63	27.0	1		4
Q86R84	Dermatophagoides farinae	Metazoa	462	25.0	1		1
Q7T2R1	Daboia siamensis	Metazoa	138	16.0	1		1
Q9BQ51	Homo sapiens	Metazoa	273	19.0	1		2
Q9H7M9	Homo sapiens	Metazoa	311	32.0	1		5
P33679	Zea mays	Plants	227	20.0	1		5
P83403	Glossina morsitans morsitans	Metazoa	63	23.0	1		1
I6RA76	Scolopendra mutilans	Metazoa	64	18.0	1		4
Q4PRD2	Daboia siamensis	Metazoa	158	24.0	1		2
Q07654	Homo sapiens	Metazoa	80	21.0	1		5
C9X4J8	Tityus discrepans	Metazoa	86	20.0	1		1
P60568	Homo sapiens	Metazoa	153	20.0	1		5
Q96PL1	Homo sapiens	Metazoa	93	21.0	1		4
P15516	Homo sapiens	Metazoa	51	19.0	1		2
P01179	Rattus norvegicus	Metazoa	125	19.0	1		1
Q9H3T3	Homo sapiens	Metazoa	888	25.0	1		3
P01572	Mus musculus	Metazoa	189	23.0	1		2
P18926	Centruroides tecomanus	Metazoa	87	19.0	1		5
P01001	Bos taurus	Metazoa	80	23.0	1		5
H6U1I8	Tanacetum cinerariifolium	Plants	365	27.0	1		5
P16933	Schizophyllum commune	Fungi	136	24.0	1		1
P62520	Chilobrachys guangxiensis	Metazoa	63	27.0	1		1
P06332	Mus musculus	Metazoa	457	26.0	1		5
Q765P3	Holotrichia diomphalia	Metazoa	187	19.0	1		3
P03973	Homo sapiens	Metazoa	132	25.0	1		2
G3MYZ3	Bos taurus	Metazoa	604	21.0	1		1
Q6T6S5	Bitis gabonica	Metazoa	90	24.0	1		4
P84298	Chironomus thummi thummi	Metazoa	161	16.0	1		3
Q9TY95	Plasmodium falciparum (isolate 3D7)	Other	997	22.0	1		5
Q9UNE0	Homo sapiens	Metazoa	448	26.0	1		3
C0HL64	Drosophila melanogaster	Metazoa	105	18.0	1		4
P06681	Homo sapiens	Metazoa	752	20.0	1		5
P86405	Mesobuthus eupeus	Metazoa	86	19.0	1		5
P10758	Rattus norvegicus	Metazoa	165	21.0	1		5
Q24825	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	101	24.0	1		2
Q95VF0	Epiphyas postvittana	Metazoa	164	23.0	1		1
O43278	Homo sapiens	Metazoa	529	35.0	1		5
A0A7J6K7Y0	Toxoplasma gondii	Other	640	70.0	1		3
P55847	Penaeus japonicus	Metazoa	105	28.0	1		2
P18761	Mus musculus	Metazoa	317	17.0	1		4
P20029	Mus musculus	Metazoa	655	19.0	1		2
O08795	Mus musculus	Metazoa	521	14.0	1		2
P02758	Equus caballus	Metazoa	180	18.0	1		5
B0FHH8	Manduca sexta	Metazoa	151	18.0	1		4
Q62894	Rattus norvegicus	Metazoa	562	19.0	1		1
P27654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210	19.0	1		2
P36368	Mus musculus	Metazoa	261	16.0	1		5
P01295	Gallus gallus	Metazoa	164	27.0	1		5
P35331	Gallus gallus	Metazoa	1284	24.0	1		1
Q4W1I8	Zinnia elegans	Plants	321	30.0	1		3
P01177	Sus scrofa	Metazoa	125	19.0	1		1
C9X4K1	Tityus discrepans	Metazoa	83	20.0	1		2
O96059	Bombyx mori	Metazoa	66	24.0	1		1
P10153	Homo sapiens	Metazoa	161	27.0	1		4
P0DJJ8	Protobothrops flavoviridis	Metazoa	138	16.0	1		4
B0KZK1	Acarus siro	Metazoa	517	21.0	1		3
Q63041	Rattus norvegicus	Metazoa	1500	24.0	1		2
P08833	Homo sapiens	Metazoa	259	25.0	1		4
P86100	Olivierus martensii	Metazoa	410	25.0	1		2
P28800	Bos taurus	Metazoa	492	22.0	1		4
P04634	Rattus norvegicus	Metazoa	395	18.0	1		1
P05366	Mus musculus	Metazoa	122	19.0	1		2
P35578	Zootoca vivipara	Metazoa	172	21.0	1		2
P01709	Homo sapiens	Metazoa	118	19.0	1		2
P83326	Actinidia deliciosa	Plants	185	32.0	1		3
Q8I034	Felis catus	Metazoa	545	28.0	1		2
A6MEY4	Bungarus fasciatus	Metazoa	145	27.0	1		1
Q9M069	Arabidopsis thaliana	Plants	504	22.0	1		4
P91627	Drosophila miranda	Metazoa	138	16.0	1		3
Q94EG3	Nicotiana langsdorffii x Nicotiana sanderae	Plants	229	32.0	1		5
Q8T635	Manduca sexta	Metazoa	200	18.0	1		5
P13598	Homo sapiens	Metazoa	275	24.0	1		3
Q39649	Cucurbita maxima	Plants	141	22.0	1		4
B8AL97	Oryza sativa subsp. indica	Plants	470	34.0	1		1
P21128	Homo sapiens	Metazoa	410	18.0	1		4
Q84V39	Olea europaea	Plants	123	21.0	1		3
P11911	Mus musculus	Metazoa	220	28.0	1		4
P34170	Bombyx mori	Metazoa	160	20.0	1		2
Q61885	Mus musculus	Metazoa	246	28.0	1		4
O76076	Homo sapiens	Metazoa	250	23.0	1		4
Q6UXB2	Homo sapiens	Metazoa	119	21.0	1		1
P09655	Rattus norvegicus	Metazoa	79	18.0	1		5
P15570	Phytophthora cryptogea	Other	118	20.0	1		4
P00760	Bos taurus	Metazoa	246	17.0	1		2
P09486	Homo sapiens	Metazoa	303	17.0	1		1
P09230	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	454	15.0	1		3
P0DPZ2	Scolopendra dehaani	Metazoa	101	23.0	1		3
Q8L5J1	Solanum lycopersicum	Plants	399	26.0	1		5
