accession	organism	kingdom	length	tm_helix_start_leq_90
Q6YN16	Homo sapiens	Metazoa	418	false
Q9UHK6	Homo sapiens	Metazoa	382	false
A3KMH1	Homo sapiens	Metazoa	1905	false
O75874	Homo sapiens	Metazoa	414	false
Q9NTK1	Homo sapiens	Metazoa	212	false
Q9BTZ2	Homo sapiens	Metazoa	278	false
O00628	Homo sapiens	Metazoa	323	false
P50542	Homo sapiens	Metazoa	639	false
Q99489	Homo sapiens	Metazoa	341	false
Q9HCM9	Homo sapiens	Metazoa	518	false
Q13227	Homo sapiens	Metazoa	327	false
P49419	Homo sapiens	Metazoa	539	false
Q9Y3I1	Homo sapiens	Metazoa	522	false
P22736	Homo sapiens	Metazoa	598	false
Q9H773	Homo sapiens	Metazoa	170	false
P14920	Homo sapiens	Metazoa	347	false
O95822	Homo sapiens	Metazoa	493	false
P30044	Homo sapiens	Metazoa	214	false
P07954	Homo sapiens	Metazoa	510	false
P21549	Homo sapiens	Metazoa	392	false
Q9BY49	Homo sapiens	Metazoa	303	false
Q9Y2Q3	Homo sapiens	Metazoa	226	false
Q9UJ83	Homo sapiens	Metazoa	578	false
C9JRZ8	Homo sapiens	Metazoa	316	false
Q15067	Homo sapiens	Metazoa	660	false
Q8N9L9	Homo sapiens	Metazoa	421	false
Q9BXS1	Homo sapiens	Metazoa	227	false
Q6P587	Homo sapiens	Metazoa	221	false
P09110	Homo sapiens	Metazoa	424	false
Q99424	Homo sapiens	Metazoa	681	false
Q9Y4F3	Homo sapiens	Metazoa	1742	false
P36639	Homo sapiens	Metazoa	156	false
O94925	Homo sapiens	Metazoa	669	false
Q02790	Homo sapiens	Metazoa	459	false
P52306	Homo sapiens	Metazoa	607	false
Q8N3J2	Homo sapiens	Metazoa	472	false
O14832	Homo sapiens	Metazoa	338	false
Q2T9J0	Homo sapiens	Metazoa	566	false
Q9NYQ3	Homo sapiens	Metazoa	351	false
Q9P0Z9	Homo sapiens	Metazoa	390	false
Q16595	Homo sapiens	Metazoa	210	false
Q9NR28	Homo sapiens	Metazoa	239	false
Q9UMS0	Homo sapiens	Metazoa	254	false
O43933	Homo sapiens	Metazoa	1283	false
P34913	Homo sapiens	Metazoa	555	false
P00558	Homo sapiens	Metazoa	417	false
Q8IZ52	Homo sapiens	Metazoa	775	true
P59103	Homo sapiens	Metazoa	153	false
P61981	Homo sapiens	Metazoa	247	false
O15297	Homo sapiens	Metazoa	605	false
O60678	Homo sapiens	Metazoa	531	false
O60921	Homo sapiens	Metazoa	280	false
P09884	Homo sapiens	Metazoa	1462	false
P11441	Homo sapiens	Metazoa	157	false
P14678	Homo sapiens	Metazoa	240	false
P62304	Homo sapiens	Metazoa	92	false
P62314	Homo sapiens	Metazoa	119	false
Q504T8	Homo sapiens	Metazoa	468	false
Q8IXP5	Homo sapiens	Metazoa	288	false
Q8N4J0	Homo sapiens	Metazoa	409	false
Q8WUJ0	Homo sapiens	Metazoa	223	false
Q8WUQ7	Homo sapiens	Metazoa	758	false
Q9BVJ7	Homo sapiens	Metazoa	150	false
Q9C0C6	Homo sapiens	Metazoa	399	false
Q9NVP2	Homo sapiens	Metazoa	202	false
Q9Y3C4	Homo sapiens	Metazoa	175	false
Q86WA8	Homo sapiens	Metazoa	852	false
P04040	Homo sapiens	Metazoa	527	false
Q9UJM8	Homo sapiens	Metazoa	370	false
A6ND36	Homo sapiens	Metazoa	823	false
O14802	Homo sapiens	Metazoa	1390	false
O75920	Homo sapiens	Metazoa	110	false
P20941	Homo sapiens	Metazoa	246	false
Q6VN20	Homo sapiens	Metazoa	620	false
Q8TC84	Homo sapiens	Metazoa	345	false
Q99543	Homo sapiens	Metazoa	621	false
Q9GZX7	Homo sapiens	Metazoa	198	false
Q9H0Z9	Homo sapiens	Metazoa	239	false
Q9NTX7	Homo sapiens	Metazoa	359	false
Q9NVM4	Homo sapiens	Metazoa	692	false
Q9UNI6	Homo sapiens	Metazoa	340	false
Q15311	Homo sapiens	Metazoa	655	false
O14641	Homo sapiens	Metazoa	736	false
P55210	Homo sapiens	Metazoa	303	false
P62318	Homo sapiens	Metazoa	126	false
Q13642	Homo sapiens	Metazoa	323	false
Q5VWP3	Homo sapiens	Metazoa	993	false
Q96A61	Homo sapiens	Metazoa	297	false
Q9BQ70	Homo sapiens	Metazoa	676	false
Q9H777	Homo sapiens	Metazoa	363	false
Q9NR19	Homo sapiens	Metazoa	701	false
Q9NVD3	Homo sapiens	Metazoa	440	false
O14734	Homo sapiens	Metazoa	319	false
O75521	Homo sapiens	Metazoa	394	false
Q8IV20	Homo sapiens	Metazoa	430	false
O15516	Homo sapiens	Metazoa	846	false
P62306	Homo sapiens	Metazoa	86	false
Q86TI2	Homo sapiens	Metazoa	863	false
Q8IYM2	Homo sapiens	Metazoa	578	false
Q9NXV2	Homo sapiens	Metazoa	234	false
Q9UK32	Homo sapiens	Metazoa	745	false
O00429	Homo sapiens	Metazoa	736	false
Q9GZY8	Homo sapiens	Metazoa	342	false
A4D2B0	Homo sapiens	Metazoa	266	false
O43324	Homo sapiens	Metazoa	174	false
O43665	Homo sapiens	Metazoa	181	false
O75912	Homo sapiens	Metazoa	1057	false
P12268	Homo sapiens	Metazoa	514	false
P62308	Homo sapiens	Metazoa	76	false
P62316	Homo sapiens	Metazoa	118	false
Q13228	Homo sapiens	Metazoa	472	false
Q16236	Homo sapiens	Metazoa	605	false
Q4J6C6	Homo sapiens	Metazoa	727	false
Q53FT3	Homo sapiens	Metazoa	197	false
Q8IXQ6	Homo sapiens	Metazoa	854	false
Q8WWH5	Homo sapiens	Metazoa	349	false
Q9H790	Homo sapiens	Metazoa	373	false
Q9NW08	Homo sapiens	Metazoa	1133	false
Q969V5	Homo sapiens	Metazoa	352	true
Q7Z434	Homo sapiens	Metazoa	540	false
O14862	Homo sapiens	Metazoa	343	false
Q9Y2G2	Homo sapiens	Metazoa	537	false
Q15046	Homo sapiens	Metazoa	597	false
P13051	Homo sapiens	Metazoa	313	false
P51530	Homo sapiens	Metazoa	1060	false
Q96BP2	Homo sapiens	Metazoa	118	false
Q9H611	Homo sapiens	Metazoa	641	false
Q13315	Homo sapiens	Metazoa	3056	false
P33316	Homo sapiens	Metazoa	252	false
Q13686	Homo sapiens	Metazoa	389	false
Q9NS18	Homo sapiens	Metazoa	164	false
P78549	Homo sapiens	Metazoa	304	false
Q9NXA8	Homo sapiens	Metazoa	310	false
P49916	Homo sapiens	Metazoa	1009	false
Q8TAE8	Homo sapiens	Metazoa	222	false
Q9GZT3	Homo sapiens	Metazoa	109	false
Q02218	Homo sapiens	Metazoa	1023	false
Q7L7V1	Homo sapiens	Metazoa	743	false
Q9HD34	Homo sapiens	Metazoa	91	false
Q9Y606	Homo sapiens	Metazoa	427	false
Q8IW19	Homo sapiens	Metazoa	511	false
Q6NZI2	Homo sapiens	Metazoa	390	false
Q9BQG2	Homo sapiens	Metazoa	462	false
Q49B96	Homo sapiens	Metazoa	90	false
Q9NZH6	Homo sapiens	Metazoa	218	false
O15379	Homo sapiens	Metazoa	428	false
O60260	Homo sapiens	Metazoa	465	false
Q12904	Homo sapiens	Metazoa	312	false
Q9C000	Homo sapiens	Metazoa	1473	false
P54105	Homo sapiens	Metazoa	237	false
P61970	Homo sapiens	Metazoa	127	false
P62266	Homo sapiens	Metazoa	143	false
P01100	Homo sapiens	Metazoa	380	false
Q07098	Arabidopsis thaliana	Plants	306	false
P56192	Homo sapiens	Metazoa	900	false
P62857	Homo sapiens	Metazoa	69	false
O15160	Homo sapiens	Metazoa	346	false
Q8S944	Arabidopsis thaliana	Plants	808	false
Q9FWR4	Arabidopsis thaliana	Plants	213	false
Q6GPH4	Homo sapiens	Metazoa	301	false
Q9BV79	Homo sapiens	Metazoa	373	false
Q9H7Z6	Homo sapiens	Metazoa	458	false
Q15831	Homo sapiens	Metazoa	433	false
Q3MIT2	Homo sapiens	Metazoa	529	false
Q9P286	Homo sapiens	Metazoa	719	false
P09211	Homo sapiens	Metazoa	210	false
P53370	Homo sapiens	Metazoa	316	false
Q14653	Homo sapiens	Metazoa	427	false
Q7Z6Z7	Homo sapiens	Metazoa	4374	false
Q96Q11	Homo sapiens	Metazoa	434	false
Q99717	Homo sapiens	Metazoa	465	false
Q9H1K1	Homo sapiens	Metazoa	167	false
Q9UHV9	Homo sapiens	Metazoa	154	false
Q9UJ68	Homo sapiens	Metazoa	235	false
P52759	Rattus norvegicus	Metazoa	137	false
P70473	Rattus norvegicus	Metazoa	382	false
O95568	Homo sapiens	Metazoa	372	false
P78527	Homo sapiens	Metazoa	4128	false
Q6PI26	Homo sapiens	Metazoa	577	false
Q86US8	Homo sapiens	Metazoa	1419	false
Q92841	Homo sapiens	Metazoa	729	false
O15164	Homo sapiens	Metazoa	1050	false
O94763	Homo sapiens	Metazoa	535	false
P19793	Homo sapiens	Metazoa	462	false
P22314	Homo sapiens	Metazoa	1058	false
P49789	Homo sapiens	Metazoa	147	false
P53778	Homo sapiens	Metazoa	367	false
Q99417	Homo sapiens	Metazoa	103	false
Q99807	Homo sapiens	Metazoa	217	false
Q9NX63	Homo sapiens	Metazoa	227	false
Q9ULZ2	Homo sapiens	Metazoa	295	false
O60829	Homo sapiens	Metazoa	102	false
Q8N6R0	Homo sapiens	Metazoa	699	false
Q9BQ95	Homo sapiens	Metazoa	431	false
Q9NQ88	Homo sapiens	Metazoa	270	false
Q9NQP4	Homo sapiens	Metazoa	134	false
Q9Y4E8	Homo sapiens	Metazoa	981	false
P78537	Homo sapiens	Metazoa	153	false
P62826	Homo sapiens	Metazoa	216	false
Q8NBU5	Homo sapiens	Metazoa	361	true
Q6PIL6	Homo sapiens	Metazoa	250	false
O75897	Homo sapiens	Metazoa	302	false
P17812	Homo sapiens	Metazoa	591	false
P41252	Homo sapiens	Metazoa	1262	false
Q01064	Homo sapiens	Metazoa	536	false
Q0IIM8	Homo sapiens	Metazoa	1120	false
Q0VDF9	Homo sapiens	Metazoa	509	false
Q5VWZ2	Homo sapiens	Metazoa	237	false
Q7L5D6	Homo sapiens	Metazoa	327	false
Q8IVU3	Homo sapiens	Metazoa	1022	false
Q8IWV7	Homo sapiens	Metazoa	1749	false
Q8WTX7	Homo sapiens	Metazoa	329	false
Q93015	Homo sapiens	Metazoa	286	false
Q969F9	Homo sapiens	Metazoa	1004	false
Q96A44	Homo sapiens	Metazoa	273	false
Q96G75	Homo sapiens	Metazoa	393	false
Q99619	Homo sapiens	Metazoa	263	false
Q9NRN7	Homo sapiens	Metazoa	309	false
Q9NUV9	Homo sapiens	Metazoa	329	false
Q9ULE6	Homo sapiens	Metazoa	856	false
Q9Y4U1	Homo sapiens	Metazoa	282	false
Q9NWT8	Homo sapiens	Metazoa	199	false
P35813	Homo sapiens	Metazoa	382	false
