accession	organism	kingdom	length	tm_helix_start_leq_90
Q9ZUT3	Arabidopsis thaliana	Plants	273	True
P11799	Gallus gallus	Metazoa	1906	False
Q9UGN5	Homo sapiens	Metazoa	583	False
P49591	Homo sapiens	Metazoa	514	False
Q8GYQ5	Arabidopsis thaliana	Plants	372	False
Q9BQI6	Homo sapiens	Metazoa	1058	False
Q500U8	Arabidopsis thaliana	Plants	326	False
Q64364	Mus musculus	Metazoa	169	False
P00063	Acer negundo	Plants	112	False
Q8K2T8	Mus musculus	Metazoa	535	False
Q8LG30	Arabidopsis thaliana	Plants	76	True
A0A1E3P8S6	Wickerhamomyces anomalus (strain ATCC 58044 / CBS 1984 / NCYC 433 / NRRL Y-366-8)	Fungi	391	False
P53780	Arabidopsis thaliana	Plants	464	False
Q5QNW6	Homo sapiens	Metazoa	126	False
Q93WC9	Arabidopsis thaliana	Plants	336	False
O95487	Homo sapiens	Metazoa	1268	False
Q7YTB0	Bombyx mori	Metazoa	661	False
P48059	Homo sapiens	Metazoa	325	False
Q16698	Homo sapiens	Metazoa	335	False
P11978	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1358	False
Q13061	Homo sapiens	Metazoa	729	True
O82259	Arabidopsis thaliana	Plants	225	False
Q8WVH0	Homo sapiens	Metazoa	158	False
P78545	Homo sapiens	Metazoa	371	False
Q9VPT4	Drosophila melanogaster	Metazoa	717	False
Q8BHL4	Mus musculus	Metazoa	356	True
Q00312	Candida albicans	Fungi	527	False
Q9M0S5	Arabidopsis thaliana	Plants	764	False
Q02199	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	472	False
Q06178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	401	False
Q9Z1L1	Rattus norvegicus	Metazoa	211	True
Q8RY46	Arabidopsis thaliana	Plants	700	False
Q91X44	Mus musculus	Metazoa	623	False
P62913	Homo sapiens	Metazoa	178	False
Q8IWV7	Homo sapiens	Metazoa	1749	False
P50213	Homo sapiens	Metazoa	366	False
Q6ZSZ5	Homo sapiens	Metazoa	1361	False
P07390	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	489	False
Q7KUT2	Drosophila melanogaster	Metazoa	1024	False
Q07799	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	665	False
Q94JS0	Arabidopsis thaliana	Plants	272	False
P02281	Xenopus laevis	Metazoa	126	False
Q96EY1	Homo sapiens	Metazoa	480	False
Q8VYB9	Arabidopsis thaliana	Plants	840	False
E9Q2Z1	Mus musculus	Metazoa	1453	False
P18111	Mus musculus	Metazoa	268	False
Q9SQR2	Arabidopsis thaliana	Plants	272	False
P15720	Gallus gallus	Metazoa	174	False
O60814	Homo sapiens	Metazoa	126	False
Q5SNT2	Homo sapiens	Metazoa	666	False
P22570	Homo sapiens	Metazoa	491	False
O14235	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	348	False
P49286	Homo sapiens	Metazoa	362	True
Q7X9V3	Arabidopsis thaliana	Plants	258	False
O95251	Homo sapiens	Metazoa	611	False
P62801	Gallus gallus	Metazoa	103	False
P52164	Rattus norvegicus	Metazoa	160	False
P17694	Bos taurus	Metazoa	463	False
Q96DT0	Homo sapiens	Metazoa	336	False
Q9ERS5	Mus musculus	Metazoa	425	False
P29383	Arabidopsis thaliana	Plants	258	False
Q84XU2	Arabidopsis thaliana	Plants	538	False
P27788	Zea mays	Plants	152	False
Q6P5E8	Mus musculus	Metazoa	934	False
Q07953	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	250	False
Q9NQZ6	Homo sapiens	Metazoa	224	False
Q8VDP2	Mus musculus	Metazoa	222	False
