accession	organism	kingdom	length	sp_cleavage_site
P56611	Tityus bahiensis	Metazoa	84	20
Q10ST8	Oryza sativa subsp. japonica	Plants	96	27
Q8WPD0	Patiria pectinifera	Metazoa	168	18
P01237	Rattus norvegicus	Metazoa	226	29
P01817	Homo sapiens	Metazoa	119	19
P19874	Oryctolagus cuniculus	Metazoa	101	22
A0A7E5WUT2	Trichoplusia ni	Metazoa	231	19
P01222	Homo sapiens	Metazoa	138	20
Q9JMI7	Mus musculus	Metazoa	250	25
P01611	Homo sapiens	Metazoa	117	22
P01705	Homo sapiens	Metazoa	113	19
Q9NII7	Olivierus martensii	Metazoa	60	22
O89093	Mus musculus	Metazoa	97	27
P00713	Cavia porcellus	Metazoa	142	19
Q39962	Hevea brasiliensis	Plants	238	31
P0C1X6	Tityus discrepans	Metazoa	62	26
Q8L9T8	Arabidopsis thaliana	Plants	63	27
Q86R84	Dermatophagoides farinae	Metazoa	462	25
Q7T2R1	Daboia siamensis	Metazoa	138	16
Q9BQ51	Homo sapiens	Metazoa	273	19
Q9H7M9	Homo sapiens	Metazoa	311	32
P33679	Zea mays	Plants	227	20
P83403	Glossina morsitans morsitans	Metazoa	63	23
I6RA76	Scolopendra mutilans	Metazoa	64	18
Q4PRD2	Daboia siamensis	Metazoa	158	24
Q07654	Homo sapiens	Metazoa	80	21
C9X4J8	Tityus discrepans	Metazoa	86	20
P60568	Homo sapiens	Metazoa	153	20
Q96PL1	Homo sapiens	Metazoa	93	21
P15516	Homo sapiens	Metazoa	51	19
P01179	Rattus norvegicus	Metazoa	125	19
Q9H3T3	Homo sapiens	Metazoa	888	25
P01572	Mus musculus	Metazoa	189	23
P18926	Centruroides tecomanus	Metazoa	87	19
P01001	Bos taurus	Metazoa	80	23
H6U1I8	Tanacetum cinerariifolium	Plants	365	27
P16933	Schizophyllum commune	Fungi	136	24
P62520	Chilobrachys guangxiensis	Metazoa	63	27
P06332	Mus musculus	Metazoa	457	26
Q765P3	Holotrichia diomphalia	Metazoa	187	19
P03973	Homo sapiens	Metazoa	132	25
G3MYZ3	Bos taurus	Metazoa	604	21
Q6T6S5	Bitis gabonica	Metazoa	90	24
P84298	Chironomus thummi thummi	Metazoa	161	16
Q9TY95	Plasmodium falciparum (isolate 3D7)	Other	997	22
Q9UNE0	Homo sapiens	Metazoa	448	26
C0HL64	Drosophila melanogaster	Metazoa	105	18
P06681	Homo sapiens	Metazoa	752	20
P86405	Mesobuthus eupeus	Metazoa	86	19
P10758	Rattus norvegicus	Metazoa	165	21
