accession	organism	kingdom	length	sp_cleavage_site	label	tm_helix_start_leq_90	fold
Q10ST8	Oryza sativa subsp. japonica	Plants	96	27.0	1		2
P01237	Rattus norvegicus	Metazoa	226	29.0	1		2
Q9BQ51	Homo sapiens	Metazoa	273	19.0	1		2
Q4PRD2	Daboia siamensis	Metazoa	158	24.0	1		2
P15516	Homo sapiens	Metazoa	51	19.0	1		2
P01572	Mus musculus	Metazoa	189	23.0	1		2
P03973	Homo sapiens	Metazoa	132	25.0	1		2
Q24825	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	101	24.0	1		2
P55847	Penaeus japonicus	Metazoa	105	28.0	1		2
P20029	Mus musculus	Metazoa	655	19.0	1		2
O08795	Mus musculus	Metazoa	521	14.0	1		2
P27654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210	19.0	1		2
C9X4K1	Tityus discrepans	Metazoa	83	20.0	1		2
Q63041	Rattus norvegicus	Metazoa	1500	24.0	1		2
P86100	Olivierus martensii	Metazoa	410	25.0	1		2
P05366	Mus musculus	Metazoa	122	19.0	1		2
P35578	Zootoca vivipara	Metazoa	172	21.0	1		2
P01709	Homo sapiens	Metazoa	118	19.0	1		2
Q8I034	Felis catus	Metazoa	545	28.0	1		2
P34170	Bombyx mori	Metazoa	160	20.0	1		2
P00760	Bos taurus	Metazoa	246	17.0	1		2
P14632	Sus scrofa	Metazoa	704	19.0	1		2
Q6UXG3	Homo sapiens	Metazoa	332	18.0	1		2
P35777	Solenopsis invicta	Metazoa	137	19.0	1		2
P0DJD7	Homo sapiens	Metazoa	388	15.0	1		2
Q6YZY5	Oryza sativa subsp. japonica	Plants	224	22.0	1		2
F1N2K1	Bos taurus	Metazoa	508	31.0	1		2
Q8NBP7	Homo sapiens	Metazoa	692	30.0	1		2
O80323	Pyrus pyrifolia	Plants	222	22.0	1		2
P18632	Cryptomeria japonica	Plants	374	21.0	1		2
Q6UWE3	Homo sapiens	Metazoa	100	21.0	1		2
F5CPD3	Micrurus altirostris	Metazoa	85	21.0	1		2
Q8L5C6	Triticum aestivum	Plants	304	30.0	1		2
Q9YGN4	Gloydius brevicauda	Metazoa	145	23.0	1		2
P09923	Homo sapiens	Metazoa	528	19.0	1		2
P49121	Agkistrodon contortrix laticinctus	Metazoa	137	16.0	1		2
Q8MMG9	Pimpla hypochondriaca	Metazoa	585	32.0	1		2
A6XMY0	Hyas araneus	Metazoa	64	25.0	1		2
P93543	Sambucus nigra	Plants	569	28.0	1		2
Q71DJ5	Arabidopsis thaliana	Plants	393	20.0	1		2
Q9NL38	Pinctada maxima	Metazoa	568	22.0	1		2
P02778	Homo sapiens	Metazoa	98	21.0	1		2
P29060	Nicotiana tabacum	Plants	291	22.0	1		2
P63152	Cavia porcellus	Metazoa	143	23.0	1		2
P80356	Avena sativa	Plants	220	19.0	1		2
P01347	Rattus norvegicus	Metazoa	186	22.0	1		2
P02740	Anas platyrhynchos	Metazoa	127	18.0	1		2
Q8RVH5	Glycine max	Plants	433	24.0	1		2
P79263	Sus scrofa	Metazoa	921	27.0	1		2
P18892	Bos taurus	Metazoa	526	26.0	1		2
P17301	Homo sapiens	Metazoa	1181	29.0	1		2
P11151	Bos taurus	Metazoa	478	28.0	1		2
I3LGZ3	Sus scrofa	Metazoa	81	24.0	1		2
C1IC49	Walterinnesia aegyptia	Metazoa	86	21.0	1		2
Q96BF3	Homo sapiens	Metazoa	282	22.0	1		2
P35248	Rattus norvegicus	Metazoa	374	19.0	1		2
A1X159	Perna viridis	Metazoa	431	20.0	1		2
Q2A783	Triticum aestivum	Plants	285	18.0	1		2
Q96BY9	Homo sapiens	Metazoa	339	30.0	1		2
P0DJD9	Homo sapiens	Metazoa	388	15.0	1		2
P13473	Homo sapiens	Metazoa	410	28.0	1		2
P83880	Pinus monticola	Plants	105	26.0	1		2
Q96S96	Homo sapiens	Metazoa	227	22.0	1		2
Q8S2W4	Arabidopsis thaliana	Plants	61	22.0	1		2
E7BLC7	Androctonus crassicauda	Metazoa	84	17.0	1		2
P42813	Arabidopsis thaliana	Plants	230	22.0	1		2
P15589	Rattus norvegicus	Metazoa	577	19.0	1		2
Q9PWI4	Elaphe quadrivirgata	Metazoa	202	19.0	1		2
P83869	Drosophila melanogaster	Metazoa	46	22.0	1		2
Q63345	Rattus norvegicus	Metazoa	245	27.0	1		2
P29794	Canis lupus familiaris	Metazoa	180	20.0	1		2
P05305	Homo sapiens	Metazoa	212	17.0	1		2
P06865	Homo sapiens	Metazoa	529	22.0	1		2
P00738	Homo sapiens	Metazoa	406	18.0	1		2
W5XDM0	Macrovipera lebetinus	Metazoa	152	23.0	1		2
P15478	Solanum tuberosum	Plants	386	23.0	1		2
O73856	Naja sputatrix	Metazoa	81	21.0	1		2
P06207	Limulus polyphemus	Metazoa	242	24.0	1		2
Q07325	Homo sapiens	Metazoa	125	22.0	1		2
P18181	Mus musculus	Metazoa	240	22.0	1		2
Q8H6Q1	Petunia hybrida	Plants	103	25.0	1		2
Q2YHJ7	Craspedocephalus puniceus	Metazoa	138	16.0	1		2
P00748	Homo sapiens	Metazoa	615	19.0	1		2
P04003	Homo sapiens	Metazoa	597	48.0	1		2
P01634	Mus musculus	Metazoa	136	29.0	1		2
Q91XZ4	Mus musculus	Metazoa	772	28.0	1		2
Q70LM3	Phlebia radiata	Fungi	390	23.0	1		2
P00989	Bungarus multicinctus	Metazoa	85	24.0	1		2
O88917	Rattus norvegicus	Metazoa	1515	24.0	1		2
Q08738	Bombyx mori	Metazoa	239	16.0	1		2
P01033	Homo sapiens	Metazoa	207	23.0	1		2
Q9UN67	Homo sapiens	Metazoa	800	26.0	1		2
Q63180	Rattus norvegicus	Metazoa	789	25.0	1		2
W0HJ53	Rhizopus oryzae	Fungi	216	27.0	1		2
Q875I9	Aspergillus fumigatus	Fungi	238	17.0	1		2
Q6UWY2	Homo sapiens	Metazoa	283	31.0	1		2
P01019	Homo sapiens	Metazoa	476	24.0	1		2
P12069	Sus scrofa	Metazoa	148	18.0	1		2
P00701	Coturnix japonica	Metazoa	147	18.0	1		2
P07727	Rattus norvegicus	Metazoa	457	28.0	1		2
P01729	Mus musculus	Metazoa	129	19.0	1		2
Q7T2I5	Laticauda semifasciata	Metazoa	83	21.0	1		2
P0DUT0	Doratifera vulnerans	Metazoa	46	19.0	1		2
